Team,Nickname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Man City,A,1,2,1,H-4,O-4,C-4,B-5,r,1,2,1,p,G-4,n,1,1,1,2,2,3,2,3,o,2,2,1,2,f,3,1,r,B-5,3,s,1,1,g,1
Liverpool,B,t,3,c,Q-4,1,M-4,2,2,f,1,g,2,2,1,1,2,2,1,1,1,3,2,2,3,3,1,2,1,1,3,1,2,2,1,1,,2,3
Chelsea,C,l,e,2,2,1,3,1,M-4,1,K-4,1,H-4,2,S-5,1,1,p,J-4,2,1,3,A-4,d,i,1,3,1,1,3,1,,1,3,2,2,2,3,s
Tottenham Hotspur,D,3,j,2,,c,E-4,n,1,g,F-4,2,Q-4,2,,2,1,h,3,1,3,3,1,1,3,3,3,3,p,2,1,k,2,i,1,2,,1,T-4
Arsenal,E,1,C-5,3,2,2,2,1,l,1,1,3,B-8,k,1,1,3,,1,2,2,1,d,r,2,C-4,1,B-4,s,2,1,L-4,2,o,2,g,1,1,2
Man Utd,F,2,2,J-4,1,g,2,2,3,B-7,1,A-4,S-4,1,e,3,1,m,1,3,2,2,1,G-4,1,O-7,2,2,1,d,2,H-4,2,3,2,3,3,2,L-4
West Ham,G,2,2,1,2,2,q,2,2,1,n,2,1,A-4,1,3,1,,T-4,2,1,2,1,1,3,,2,2,B-4,,d,1,2,1,2,1,3,1,
Leicester,H,J-5,g,2,2,2,1,1,2,1,2,2,3,S-5,2,n,k,1,1,1,3,1,3,3,B-4,,2,1,2,e,2,1,,k,n,d,2,2,1
Brighton,I,r,1,1,2,3,l,1,,2,B-5,1,n,2,g,,3,1,1,2,c,1,1,3,1,1,1,,K-4,1,2,1,2,3,2,1,3,1,
Wolves,J,H-4,2,F-5,2,2,1,2,2,1,1,1,g,t,1,B-7,a,1,2,1,2,3,2,M-4,1,1,2,1,1,p,1,1,k,2,2,1,1,,1
Newcastle,K,1,2,O-5,3,1,1,1,d,3,1,1,m,3,t,r,1,1,A-4,2,1,1,1,,1,3,1,,i,C-6,2,D-4,1,1,t,B-9,A-4,E-6,r
Crystal Palace,L,1,1,2,,3,1,2,3,2,A-5,1,r,1,q,f,1,1,1,d,1,g,2,B-5,2,,1,r,J-8,2,3,2,,3,1,O-4,2,n,2
Brentford,M,1,2,2,i,2,B-4,1,1,3,R-4,2,2,p,,q,1,3,1,3,a,n,B-7,j,A-10,,2,,3,R-4,3,,1,s,1,2,o,1,q
Aston Villa,N,2,3,1,1,p,3,1,1,e,2,2,1,l,1,1,1,,1,2,Q-5,M-4,1,1,1,2,,,o,,1,1,1,3,1,3,2,1,2
Southampton,O,,f,k,g,a,3,c,1,1,s,n,1,2,1,,1,3,m,1,3,1,1,2,1,1,P-4,2,1,,2,,c,2,3,l,2,b,3
Everton,P,,,i,2,2,1,2,g,1,2,1,2,3,3,E-5,l,2,h,r,1,1,1,3,1,1,2,A-4,1,J-7,1,1,1,l,b,c,h,2,e
Leeds,Q,3,,2,2,1,2,,2,1,,1,1,1,2,M-7,C-4,a,e,B-6,3,R-5,1,,2,p,F-4,d,h,2,3,,1,c,1,3,e,1,2
Burnley,R,1,B-7,2,2,E-4,H-4,2,3,1,3,C-4,1,3,3,1,1,3,n,1,F-4,1,H-4,2,2,B-7,3,2,1,M-4,3,A-5,3,1,J-5,s,1,2,K-5
Watford,S,n,1,1,1,t,1,,B-8,p,2,3,1,2,3,a,m,r,2,J-4,g,1,1,1,1,1,,2,2,,1,3,3,1,2,1,l,3,2
Norwich,T,2,3,2,e,1,p,1,,c,,3,o,1,3,D-4,f,,3,3,3,h,3,1,1,2,B-5,1,1,3,2,1,3,f,1,n,2,,d
